"Module","ModuleFamily","Entity","FeatureAction","ActionKind","HttpMethod","RouteExpression","PermissionExpression","PermissionReference","EndpointFile","Line"
"Employee","HR employees","Employees","GetEmployeesByBranchId","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/Branch"" + ""/{branchId}"", async ([FromRoute] Guid branchId, [AsParameters] PaginationRequest request, ISender sender) =>","PermissionList.EmployeePermissions.View","EmployeePermissions.View","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/GetEmployeesByBranchId/GetEmployeesByBranchIdEndpoint.cs","14"
"Employee","HR employees","Employees","GetEmployeesByCompanyId","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/company"" + ""/{companyId}"", async ([FromRoute] Guid companyId, [AsParameters] PaginationRequest request, ISender sender) =>","PermissionList.EmployeePermissions.View","EmployeePermissions.View","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/GetEmployeesByCompanyId/GetEmployeesByCompanyIdEndpoint.cs","13"
"Employee","HR employees","Employees","GetEmployeesByDepartmentId","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/department"" + ""/{departmentId}"", async ([FromRoute] Guid departmentId, [AsParameters] PaginationRequest request, ISender sender) =>","PermissionList.EmployeePermissions.View","EmployeePermissions.View","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/GetEmployeesByDepartmentId/GetEmployeesByDepartmentIdEndpoint.cs","13"
"Employee","HR employees","Employees","GetPublicEmployeeView","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/public-view/{{id:guid}}"", async (Guid id, ISender sender) =>","","","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/GetPublicEmployeeView/GetPublicEmployeeViewEndpoint.cs","9"
"Employee","HR employees","Employees","TerminateEmployee","Workflow","PUT","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/Terminate"", async (TerminateEmployeeRequest request, ISender sender) =>","PermissionList.EmployeePermissions.Edit","EmployeePermissions.Edit","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/TerminateEmployee/TerminateEmployeeEndpoint.cs","13"
"Employee","HR employees","Employees","TransferDepartment","Workflow","PUT","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/Transfer"", async (TransferDepartmentRequest request, ISender sender) =>","PermissionList.EmployeePermissions.Edit","EmployeePermissions.Edit","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/TransferDepartment/TransferDepartmentEndpoint.cs","12"
"Employee","HR employees","Employees","UpdateEmployee","Workflow","PUT","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}"", async (UpdateEmployeeRequest request, ISender sender) =>","PermissionList.EmployeePermissions.Edit","EmployeePermissions.Edit","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/UpdateEmployee/UpdateEmployeeEndpoint.cs","12"
"Employee","HR employees","Positions","CreatePosition","Workflow","POST","$""{Utils.URL_PATTERN}/{Utils.Position_Endpoint}"", async (CreatePositionRequest request, ISender sender) =>","PermissionList.PositionPermissions.Create","PositionPermissions.Create","src/Modules/Employee/EmployeeModule/Employees/Features/Positions/CreatePosition/CreatePositionEndpoint.cs","11"
"Employee","HR employees","Positions","DeletePosition","Workflow","DELETE","$""{Utils.URL_PATTERN}/{Utils.Position_Endpoint}"" + ""/{id}"", async (Guid id, ISender sender) =>","PermissionList.PositionPermissions.Delete","PositionPermissions.Delete","src/Modules/Employee/EmployeeModule/Employees/Features/Positions/DeletePosition/DeletePositionEndpoint.cs","10"
"Employee","HR employees","Positions","GetPositionById","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Position_Endpoint}"" + ""/{id}"", async (Guid id, ISender sender) =>","PermissionList.PositionPermissions.View","PositionPermissions.View","src/Modules/Employee/EmployeeModule/Employees/Features/Positions/GetPositionById/GetPositionByIdEndpoint.cs","11"
"Employee","HR employees","Positions","GetPositions","View/List","GET","$""{Utils.URL_PATTERN}/{Utils.Position_Endpoint}/company"" + ""/{companyId}"",","PermissionList.PositionPermissions.View","PositionPermissions.View","src/Modules/Employee/EmployeeModule/Employees/Features/Positions/GetPositions/GetPositionsEndpoint.cs","12"
